time,sst
2/1/2017 12:00,14.0292
3/1/2017 12:00,13.668994
4/1/2017 12:00,14.274519
5/1/2017 12:00,14.871774
6/1/2017 12:00,15.343027
7/1/2017 12:00,16.18497
8/1/2017 12:00,17.452667
9/1/2017 12:00,18.329123
10/1/2017 12:00,18.32739
11/1/2017 12:00,16.980457
12/1/2017 12:00,16.436209
1/1/2018 12:00,15.23733
2/1/2018 12:00,14.754901
3/1/2018 12:00,13.758934
4/1/2018 12:00,14.22732
5/1/2018 12:00,14.261237
6/1/2018 12:00,14.943624
7/1/2018 12:00,15.86133
8/1/2018 12:00,17.459314
9/1/2018 12:00,18.315863
10/1/2018 12:00,18.065756
11/1/2018 12:00,17.448446
12/1/2018 12:00,16.29601
1/1/2019 12:00,14.879553
2/1/2019 12:00,14.692961
3/1/2019 12:00,13.66985
4/1/2019 12:00,14.352906
5/1/2019 12:00,14.4178
6/1/2019 12:00,14.922485
7/1/2019 12:00,16.168095
8/1/2019 12:00,17.894579
9/1/2019 12:00,20.17398
10/1/2019 12:00,18.65548
11/1/2019 12:00,17.240547
12/1/2019 12:00,15.488789
1/1/2020 12:00,14.656529
2/1/2020 12:00,14.178089
3/1/2020 12:00,13.418717
4/1/2020 12:00,13.827618
5/1/2020 12:00,14.905387
6/1/2020 12:00,15.884354
7/1/2020 12:00,16.56748
8/1/2020 12:00,17.697557
9/1/2020 12:00,18.543844
10/1/2020 12:00,19.636873
11/1/2020 12:00,17.885426
12/1/2020 12:00,15.808834
1/1/2021 12:00,14.629916
2/1/2021 12:00,13.916537
3/1/2021 12:00,13.722121
4/1/2021 12:00,13.417106
5/1/2021 12:00,14.104889
6/1/2021 12:00,14.838309
7/1/2021 12:00,16.439203
8/1/2021 12:00,17.530586
9/1/2021 12:00,17.558578
10/1/2021 12:00,17.96706
11/1/2021 12:00,17.172823
12/1/2021 12:00,16.084421
1/1/2022 12:00,14.165679
2/1/2022 12:00,14.061846
3/1/2022 12:00,13.603789
4/1/2022 12:00,13.6322155
5/1/2022 12:00,13.902061
6/1/2022 12:00,14.936673
7/1/2022 12:00,16.307077
8/1/2022 12:00,18.144413
9/1/2022 12:00,18.970972
10/1/2022 12:00,19.190197
11/1/2022 12:00,17.775
12/1/2022 12:00,15.907326
1/1/2023 12:00,14.991845
2/1/2023 12:00,13.8342085
3/1/2023 12:00,12.899839
4/1/2023 12:00,13.078961
5/1/2023 12:00,13.707415
6/1/2023 12:00,14.793762
7/1/2023 12:00,15.346022
8/1/2023 12:00,17.693855
9/1/2023 12:00,18.860767
10/1/2023 12:00,18.435204
11/1/2023 12:00,18.097662
12/1/2023 12:00,16.702177
1/1/2024 12:00,15.761757
2/1/2024 12:00,15.127619
3/1/2024 12:00,14.870377
4/1/2024 12:00,14.369746
5/1/2024 12:00,14.2760935
6/1/2024 12:00,14.730298
7/1/2024 12:00,16.013092
8/1/2024 12:00,17.44485
9/1/2024 12:00,18.977459
10/1/2024 12:00,18.09928
11/1/2024 12:00,17.633663
12/1/2024 12:00,16.157845
1/1/2025 12:00,15.2458
